host: 主机名

User-Agent：客户端基本环境信息

Content-Type：传参的类型

Content-Length: 请求包长度

Referer: 上一步来源。

X-Forwarded-For：当前身份ip

Cookie：用户身份标识



		请求

GET /Secret.php HTTP/1.1																	# 方法 访问文件 协议
Host: node5.buuoj.cn:25977																# 目标主机
User-Agent: Syclover																		# 用户代理 / 浏览器
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8	# 浏览器支持类型
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2				# 浏览器首选语言
Accept-Encoding: gzip, deflate																# 浏览器支持的内容编码方式
Connection: close																			# 请求完成后将立即关闭连接
Referer: https://Sycsecret.buuoj.cn															# 请求来源于 https://Sycsecret.buuoj.cn
Upgrade-Insecure-Requests: 1																# 愿意升级为 HTTPS
X-Forwarded-For: 127.0.0.1																	# 经过代理服务器后，客户端的真实 IP 地址				（一般用于服务器获取我们的IP地址）

